data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed
Microbiome Data,uncorrected,F1_score,0.7407407407407407,All,Train-Test-Split,43
Microbiome Data,uncorrected,MCC,0.5,China1,Train-Test-Split,43
Microbiome Data,uncorrected,F1_score,0.75,China1,Train-Test-Split,43
Microbiome Data,uncorrected,MCC,0.7391304347826086,China3,Train-Test-Split,43
Microbiome Data,uncorrected,F1_score,0.8695652173913043,China3,Train-Test-Split,43
Microbiome Data,uncorrected,MCC,0.5238095238095238,China5,Train-Test-Split,43
Microbiome Data,uncorrected,F1_score,0.7619047619047619,China5,Train-Test-Split,43
Microbiome Data,uncorrected,MCC,0.1428571428571428,France1,Train-Test-Split,43
Microbiome Data,uncorrected,F1_score,0.5714285714285714,France1,Train-Test-Split,43
Microbiome Data,uncorrected,MCC,0.4666666666666667,Germany1,Train-Test-Split,43
Microbiome Data,uncorrected,F1_score,0.7333333333333333,Germany1,Train-Test-Split,43
Microbiome Data,uncorrected,MCC,0.5,Germany2,Train-Test-Split,43
Microbiome Data,uncorrected,F1_score,0.75,Germany2,Train-Test-Split,43
Microbiome Data,corrected,MCC,0.5925925925925926,All,Train-Test-Split,43
Microbiome Data,corrected,F1_score,0.7962962962962963,All,Train-Test-Split,43
Microbiome Data,corrected,MCC,0.7,China1,Train-Test-Split,43
Microbiome Data,corrected,F1_score,0.85,China1,Train-Test-Split,43
Microbiome Data,corrected,MCC,0.7391304347826086,China3,Train-Test-Split,43
Microbiome Data,corrected,F1_score,0.8695652173913043,China3,Train-Test-Split,43
Microbiome Data,corrected,MCC,0.6190476190476191,China5,Train-Test-Split,43
Microbiome Data,corrected,F1_score,0.8095238095238095,China5,Train-Test-Split,43
Microbiome Data,corrected,MCC,0.1428571428571428,France1,Train-Test-Split,43
Microbiome Data,corrected,F1_score,0.5714285714285714,France1,Train-Test-Split,43
Microbiome Data,corrected,MCC,0.6,Germany1,Train-Test-Split,43
Microbiome Data,corrected,F1_score,0.8,Germany1,Train-Test-Split,43
Microbiome Data,corrected,MCC,1.0,Germany2,Train-Test-Split,43
Microbiome Data,corrected,F1_score,1.0,Germany2,Train-Test-Split,43
Balanced Simulated Data,uncorrected,MCC,0.9833333333333332,All,Train-Test-Split,44
Balanced Simulated Data,uncorrected,F1_score,0.9916666666666668,All,Train-Test-Split,44
Balanced Simulated Data,uncorrected,MCC,1.0,lab1,Train-Test-Split,44
Balanced Simulated Data,uncorrected,F1_score,1.0,lab1,Train-Test-Split,44
Balanced Simulated Data,uncorrected,MCC,0.95,lab2,Train-Test-Split,44
Balanced Simulated Data,uncorrected,F1_score,0.975,lab2,Train-Test-Split,44
Balanced Simulated Data,uncorrected,MCC,1.0,lab3,Train-Test-Split,44
Balanced Simulated Data,uncorrected,F1_score,1.0,lab3,Train-Test-Split,44
Balanced Simulated Data,corrected,MCC,1.0,All,Train-Test-Split,44
Balanced Simulated Data,corrected,F1_score,1.0,All,Train-Test-Split,44
Balanced Simulated Data,corrected,MCC,1.0,lab1,Train-Test-Split,44
Balanced Simulated Data,corrected,F1_score,1.0,lab1,Train-Test-Split,44
Balanced Simulated Data,corrected,MCC,1.0,lab2,Train-Test-Split,44
Balanced Simulated Data,corrected,F1_score,1.0,lab2,Train-Test-Split,44
Balanced Simulated Data,corrected,MCC,1.0,lab3,Train-Test-Split,44
Balanced Simulated Data,corrected,F1_score,1.0,lab3,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,All,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,All,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab1,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab1,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab2,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab2,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab3,Train-Test-Split,44
Mildly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab3,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,All,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,All,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,lab1,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,lab1,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,lab2,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,lab2,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,MCC,1.0,lab3,Train-Test-Split,44
Mildly Imbalanced Simulated Data,corrected,F1_score,1.0,lab3,Train-Test-Split,44
Strongly Imbalanced Simulated Data,uncorrected,MCC,0.95,All,Train-Test-Split,44
Strongly Imbalanced Simulated Data,uncorrected,F1_score,0.975,All,Train-Test-Split,44
