rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P0AG80,22.20928043016091,22.156234692906917,22.16306975600055,22.551143842174948,20.94988330821359,20.967484463435586,20.774491671345938,20.917472117062577,20.972046109853583,21.001081183763194,20.94954434089484,20.986258053493078,20.62730916467135,20.48856101868721,22.3806797259293
P0AG82,22.177684957122132,22.3107687651691,21.986063591215537,22.620149934511232,21.526512043568967,21.594070365671307,21.409975686357345,21.347476143973612,21.426318209349873,21.377113520974042,21.356629222299926,21.43368012907085,21.455193892899302,21.37876418696227,22.179397705515928
P0AG84,22.454957621767438,22.395563575464305,22.353971669295873,23.407388749236286,22.0956972463296,22.07204116918952,21.796411493264884,22.019428900198232,21.994151583079905,22.098882897605126,22.118323983958717,22.09444381337087,21.887000734548806,21.85964400024945,22.706074452772143
P0AG86,24.560550088986314,24.661166075255775,24.608596164374426,24.346796615593423,24.39351720907527,24.4184215433332,24.56441584581943,24.413255175158202,24.38625918094094,24.56514401214301,24.259543596264923,24.458512793931185,24.418981599255574,24.41860223029001,24.56874352154187
P0AG90,23.92241422688953,23.87178751049463,23.884658175818014,23.84554375717126,23.768087988676086,23.735980826470634,23.59032829627973,23.660255787998068,23.692725750694006,23.600038020646583,23.723878651365073,23.683194823467623,23.68440164830862,23.75025850582466,23.83372378369963
P0AG93,20.762956038667916,20.732387584930848,20.712428573229836,20.74329665587298,20.48673255870673,20.54856568928231,20.279438014660446,20.446578238531767,20.446626064308397,20.46070733790632,20.454067537068614,20.455280290064945,20.351711373219494,20.501218400959097,20.647207574057298
P0AG99,22.58005915889826,22.670130417007012,22.649828369177182,22.701313480488896,22.791849876120747,22.78274065247659,22.506086816483673,22.438439293128326,22.51932149365093,22.706556685159484,22.514321884514715,22.249833970645728,22.50386432988758,22.62448134826763,22.482275550042228
P0AGA2,20.403107211760837,20.654782795143326,20.356521483867787,20.572072579152202,20.464673367681545,20.45176612910665,19.941661416231344,20.290215581900707,20.205552597731142,20.058869838306908,20.21696524616743,20.25049744056442,19.829794673931758,20.284440620516225,20.19456922675003
P0AGA6,20.165889901058772,20.08636404497429,20.219448874874267,20.19426100793528,19.840575128761138,19.884102981695168,19.97532706380178,19.78916725381991,19.80227158147765,19.90834565913675,19.67293152366113,19.89499953632513,19.899000983937633,19.75791119766786,20.073144008379085
P0AGB0,19.83848791185218,19.846439226882115,19.869938099030918,19.964670830527794,20.461751164916315,20.39617263026952,20.496804508110685,20.521068828015437,20.441947006269043,20.527628334181603,20.522579203186307,20.440308433203057,20.388852545001544,20.48787410156069,19.87193478553545
P0AGB6,20.809946033241083,20.7723191683091,20.749043761578264,20.86966396753625,20.601888029509723,20.57052088118959,20.818186489864715,20.527057940774682,20.74266040657827,20.81274232041613,20.544968475573484,20.629299282075998,20.671170671720873,20.631195270763254,20.60679447690567
P0AGC3,21.747136567045256,21.600122159055584,21.677505457393163,21.82338237373557,21.312024202078106,21.336546079140017,21.26663890569849,21.33147300227716,21.281482822369142,21.330386653776287,21.334883961086888,21.293043534855624,21.291330504342156,21.26542282980388,21.75859901857318
P0AGC7,18.687419522198365,18.349635069435614,18.781862779909243,18.429708309046937,18.628921826688398,18.27171474595387,18.415585762861035,18.494032121079382,18.534119362170593,18.271369295405915,18.50919414197427,18.28888976202191,18.319898804721028,18.33297915939231,18.352815415665685
P0AGD1,22.58553181835777,23.048234387244975,22.62336124909293,23.26531176766028,21.88230610561663,21.92186665418034,21.828368690678133,21.69435726814528,21.945740789562667,21.878600138388983,22.078954725637942,21.881225360623045,21.75691394517463,21.60980958896203,22.6190776684469
P0AGD3,25.43368866711525,25.65544213602141,25.633799797552125,24.248009716852913,25.063016578997267,25.081363898999,24.99118737952167,25.127024184248217,25.070716533732536,24.916996109731734,24.935183083348953,25.037730763534245,24.685995453854353,25.060102554594334,25.349440255774148
P0AGD7,22.390328546239573,22.32262011071329,22.451400396881912,22.29464200695719,22.505312224458873,22.48246154813643,22.49564742074334,22.521407410593195,22.49135251909523,22.45894136128986,22.490296668471515,22.464189742279665,22.463241118389224,22.48911501632878,22.33142116837996
P0AGE0,24.699041283448654,24.935352965948567,24.772574414274033,24.633404532457547,24.43887655064464,24.42619722169116,24.559251126497124,24.34776836203417,24.48489434100794,24.449551290581045,24.270988081614753,24.459623371106808,24.34665160056622,24.344707898021234,24.767146233971626
P0AGE4,21.22541705499766,21.251360561827067,21.19079137238904,21.324665549293695,20.43654209152686,20.245752482182727,19.988456793505033,20.406629215125385,20.276892914536262,20.22924382256338,20.41265697396313,20.176131303252667,20.028999868116127,20.65784667255074,20.80394515800828
