"rowname"	"U_L3_D5_01"	"U_L3_D5_02"	"U_L3_D5_03"	"U_L3_D6_01"	"U_L3_D6_02"	"U_L3_D6_03"	"U_L3_F7_01"	"U_L3_F7_02"	"U_L3_F7_03"	"U_L3_M8_01"	"U_L3_M8_02"	"U_L3_M8_03"	"U_L3_D5_04"	"U_L3_D5_05"	"U_L3_D5_06"	"U_L3_D6_04"	"U_L3_D6_05"	"U_L3_D6_06"	"U_L3_F7_04"	"U_L3_F7_05"	"U_L3_F7_06"	"U_L3_M8_04"	"U_L3_M8_05"	"U_L3_M8_06"
"HMDB0000167|L-Threonine"	22.097	22.161	22.088	22.197	22.502	22.231	22.091	22.136	22.113	22.039	22.247	22	22.242	22.294	22.457	22.397	22.511	22.494	22.598	22.351	22.253	22.632	22.457	22.216
"HMDB0000929|L-Tryptophan"	20.28	20.334	20.333	20.279	20.232	20.182	20.555	20.63	20.428	20.284	20.355	20.474	20.273	20.43	20.373	20.195	20.137	20.184	20.514	20.51	20.425	20.434	20.382	20.375
"HMDB0000158|L-Tyrosine"	23.226	23.15	23.122	23.098	23.208	23.089	23.078	23.102	22.973	22.274	22.346	22.308	23.248	23.159	23.153	23.276	23.322	23.296	23.139	23.048	23.071	22.441	22.147	22.27
"HMDB0000883|L-Valine"	22.483	0	20.453	21.616	22.724	21.757	21.794	22.439	21.913	0	20.064	0	21.229	0	21.069	21.359	0	21.264	0	21.71	21.11	20.826	20.825	21.579
"HMDB0000214|L-Ornithine"	25.398	25.387	25.345	24.195	24.25	24.164	24.612	24.691	24.603	24.559	24.596	24.641	25.303	25.357	25.357	24.192	24.26	24.191	24.632	24.567	24.563	24.678	24.535	24.508
"HMDB0000222|L-Palmitoylcarnitine"	21.639	21.596	21.729	21.699	21.741	21.691	20.987	21.055	20.958	21.939	21.916	21.876	21.687	21.727	21.654	21.662	21.751	21.726	21.014	21.154	21.172	21.99	21.945	21.962
"HMDB0000176|Maleic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000202|Methylmalonic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000806|Myristic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000215|N-Acetyl-D-glucosamine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000812|N-Acetyl-L-aspartic acid"	20.777	20.844	20.719	18.828	18.991	18.862	19.185	19.176	18.909	19.606	19.628	19.535	20.741	20.647	20.707	18.914	18.995	18.829	19.08	19.101	18.978	19.603	19.604	19.438
"HMDB0000230|N-Acetylneuraminic acid"	19.443	19.223	19.261	21.068	21.141	21.049	21.345	21.356	21.295	19.904	19.783	19.952	19.245	19.344	19.297	21.065	21.188	21.092	21.31	21.264	21.219	19.88	19.83	19.895
"HMDB0002931|N-Acetylserine"	21.073	21.141	21.123	21.437	21.541	21.264	21.354	21.287	21.326	21.935	21.773	21.881	21.217	21.009	21.186	21.429	21.597	21.374	21.403	21.287	21.35	21.885	21.796	21.853
"HMDB0000207|Oleic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HMDB0000824|Propionyl-L-carnitine"	21.721	21.65	21.624	21.375	21.452	21.476	21.344	21.269	21.339	21.864	21.992	21.852	21.687	21.553	21.588	21.506	21.478	21.385	21.275	21.186	21.136	21.974	22.012	21.842
"HMDB0000243|Pyruvate"	16.568	16.222	16.504	15.358	15.955	15.515	15.001	0	15.195	16.088	16.442	16.244	16.306	16.675	16.379	15.397	15.616	15.761	0	15.181	14.772	16.327	15.694	16.324
"HMDB0000939|S-Adenosylhomocysteine"	14.763	15.13	15.154	15.639	15.661	15.616	15.948	16.229	15.922	15.966	16.147	16.209	14.83	14.766	15.048	15.756	15.614	15.785	15.747	15.85	15.829	15.936	16.359	16.159
"HMDB0000254|Succinate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
