rowname	CVT09_QC2_LabE_024	CVT09_QC3_LabE_025	CVT09_s3_002	CVT09_s10_003	CVT09_s13_004	CVT09_s16_005	CVT09_s28_007	CVT09_s31_008	CVT09_s36_009	CVT09_s50_011	CVT09_s59_013	CVT09_s61_014	CVT09_s73_016	CVT09_s77_017	CVT09_s84_018
P76536	4031890	3979320	4366450	3487570	4079080	3775320	3553510	3531820	4110690	3842920	5379910	4992350	5190840	5377370	5272630
P31992	3264470	3706760	2985770	4359550	4130890	3838150	3418230	3892470	3062430	3481490	4005140	3789960	2770300	3068580	3607330
P0A9K3	6794850	6752740	6654910	6425320	6923730	6563050	6520040	6684250	6651400	6522720	7253760	6983020	6682160	7148320	7364360
P76177	16241900	16008000	15559200	17403800	15270300	16449500	16406700	16613900	14646200	15978000	13776700	13359800	12767200	13025800	12964000
P0AAZ4	671720	637369	680630	564003	663312	692382	614916	607560	630679	644120	718666	685193	701897	700280	703564
P37749	2453320	2389440	2824540	1744670	2899260	2552370	2075980	1981400	3135870	2295780	3332460	3154930	3531250	3356880	3501520
P15770	1235950	1157220	1318380	1160410	1179730	1139120	1074220	1127290	1229760	1134450	1334380	1311770	1354590	1258730	1269260
P0ADE8	10922100	10875900	10725500	10851500	11371200	10546000	10485200	10941500	11350200	10464200	9644090	9745920	9960530	10283800	9719890
P25665	95830400	94570500	94639200	86754800	106693000	95071300	91499600	88671400	104190000	86718200	147915000	139991000	146860000	143955000	134941000
P75838	1112350	1169350	1194290	1067380	1078030	1172180	1114130	1071260	1033990	1062680	2127050	2126810	2059350	1966210	1930770
P04968	4390390	3969690	5453460	2873170	4422160	4668700	3443340	3415640	5168000	4052280	2195450	2217750	2276110	2257310	2461830
P0AFS3	443050	417468	502784	389549	509371	542634	513473	428293	429956	418620	359911	373855	340277	360715	365151
P0AB83	574749	541815	616120	522180	516898	656573	648302	521634	496985	528393	553686	550242	484774	556954	601314
P0A7V8	40579600	38574500	43767200	39369800	42679400	40205400	39495100	39653900	44203500	40312700	55900800	54888500	56482000	54347400	52902700
P06709	415392	413426	481886	428762	490963	432223	398028	428264	449510	369869	516257	464728	473786	489098	499269
P04825	12277800	12482500	12606600	10681300	13304900	11872700	11779700	11409400	13247100	10988300	10729100	11106200	11845500	10949700	10897800
P0ACF0	183507000	174580000	169310000	213853000	171990000	187092000	199969000	200006000	157678000	191089000	135161000	139955000	129061000	123922000	137243000
P76187	2090370	2185850	2874290	1206880	2721360	2182630	1661240	1641800	2879500	1705850	2534050	2590110	2885950	2815420	2790840
P0A910	470213000	426070000	460028000	451917000	443850000	481449000	470276000	464711000	521310000	488543000	333018000	369460000	362763000	321655000	327351000
P77307	71146.2	59907.6	47272.5	57046.2	78020.2	67327.3	70948	73945.9	73721.2	64507.1	70861.2	65801.8	73518.8	74920.8	67334.7
P75876	2333290	2296120	2314420	2085750	2313230	2327010	2208400	2094970	2162010	2330700	3018890	3035510	3040590	3074230	2998210
P15038	749162	742848	758235	560746	743331	726168	649661	625220	712955	641579	739813	714251	724080	773633	734302
P0AG20	4381380	4139310	4685880	3241920	4478950	4258430	3703550	3567240	4753230	3764840	4019000	3692780	3848700	4073420	3993690
P0A6R3	1251900	1012330	1096370	1344060	1093690	1144730	1172800	1188120	1059420	1204480	2761480	2839200	2825350	2606340	2380330
P10443	509167	488956	474368	444231	506366	520875	440620	491064	504056	450611	452645	545446	499332	493539	524234
P33599	7778830	7775180	8067280	6807490	8292040	7345580	7171660	7212200	8865370	6825000	5227120	5169120	5762600	5294730	5125070
P16703	4024750	3924900	3838540	3778730	3889330	4067560	3814340	3960450	3997940	4095590	4221970	4511320	4420850	4285540	4352900
P67699	293836	283841	321877	291048	273882	262987	317487	260564	267519	256361	241755	238383	195732	268023	233300
P0AFH8	64992900	67273000	59629600	87510300	64696500	68494900	79966400	81719500	50659700	71391800	44095900	47612000	39562600	42011400	41203000
P0AAH0	1383430	1383010	1556150	1456120	1580600	1623470	1601430	1476140	1514640	1502870	1776580	1657520	1652950	1593200	1615490
P45578	12594600	11973300	11485000	14341900	12162100	13144900	14309400	14270800	10596200	14027600	16002700	15778600	14897100	15753300	13907300
P76558	10452800	10361400	10931600	7709840	11363500	9450800	8773010	8560750	11706400	8489120	3596200	3199850	3352170	3409620	3218510
P75797	1599800	1560710	1506490	1654550	1615000	1650730	1649980	1682930	1729340	1693430	1295140	1390090	1417990	1308510	1309500
P0A705	14943200	14431200	15088500	13057600	14990100	14555200	13871100	13905900	15137400	14279400	17360000	17388800	17859200	17396000	17408400
P66817	891950	799084	897579	903050	873561	994701	854620	856929	967858	791310	837134	892115	805145	823556	849660
P09372	16720000	16383600	16755700	17527500	16520000	17488400	16538200	16472200	15869600	16149900	17124400	16144400	15680400	17566200	18191700
P0ADA1	1860670	1984110	1744790	1837080	1678970	1853200	1886340	1819220	1558080	1835100	1520680	1532470	1458780	1550140	1558060
P00370	13900300	12333100	15815200	11387700	14258900	14116000	12674500	12829800	16853300	15093900	19939100	18672800	19930100	19815700	18877700
P04816	6878730	7291050	6602810	7215100	7069670	6917130	6783450	6762150	6849050	6566060	7392370	6751590	6932960	7081800	6582840
P68066	49037800	43762600	72341000	36043800	36436800	28982600	32862100	34164900	48814100	32912300	46094900	44995200	45781800	35633100	35150200
P0DP89	3631500	4371780	4095310	4136720	4796780	3929930	4887390	4703480	3856950	4708830	2623030	2946080	2940640	2997370	3453200
P76344	75101300	62165500	94499000	28568300	41585400	12145900	33016900	34684500	56149900	41843500	249918000	181538000	183518000	210299000	200590000
P76402	1921450	1753600	1905050	2105760	1739490	2192400	2270890	2099990	1655660	2163420	691704	745615	687280	684902	669406
P0A8Q0	305076	279644	339637	221599	351876	321430	238736	235376	393385	258838	206371	243967	276192	257807	280840
P09980	1199400	1185370	1367000	1097120	1227630	1160500	1006650	996880	1276110	1009360	1313370	1310470	1278870	1375020	1387240
P68919	26962800	26494700	28912600	29290000	27687000	27493300	28301700	28910100	24897800	28882600	30627200	33148600	31715500	30862000	30221100
P0AF20	1196610	1177490	1247140	1030850	1215320	1167230	1056980	1026810	1213310	1045360	1150940	1064620	1107260	1115050	1161200
P0CB39	1703650	1675500	1628380	1677310	1787530	1753010	1637610	1778890	1732990	1745760	2130610	2140950	2104850	2183290	2102810
P64604	2823620	2507780	2527560	2529520	2544670	2689620	2667360	2524610	2607210	2610580	2825710	2763730	2709500	2699320	2715690
P0A8A4	4364540	3954780	4285750	3354090	4134400	4144710	3795180	3519010	3959190	3700580	1381630	1197070	1311330	1449260	1363650
P69797	8380060	8068200	8821620	7188050	8603530	7714100	7543860	7324090	8401100	7362350	17304200	14706600	17886700	18531000	16683600
P0AEE3	538935	522865	499426	479993	556044	518924	512796	492264	527344	505953	472156	474141	483813	532239	488716
P0AAI3	8042540	7706210	7562060	8102070	8081730	8075460	8143760	8299010	8135020	8454950	8221890	8387980	8407990	8056210	8038520
P0AEE5	22174100	23573800	16916800	29221700	21187300	21177300	27192400	24627700	17678800	21429400	786011	1079390	686724	1006320	882534
P37637	1044320	932681	813613	1128050	973581	971179	1226510	1266020	770276	1354910	855847	1144930	956424	1099720	1207250
P21889	9547570	8886780	10332600	7587480	9293540	9010710	8081030	8054880	10417600	8724180	9512680	8733830	9431360	9434180	9224730
P07001	9966960	9604030	10567000	7121260	11294400	9619780	8677050	8649460	11475200	8755480	20544100	18098000	19621100	20687300	20033900
P0A6A6	21993400	20203400	21018000	20366800	21523700	22645200	21640100	21906300	21423000	23116700	26652100	30506400	32232800	27633000	28072600
P69902	521005	633162	460164	531895	540860	434982	594147	569063	500258	562252	286591	348307	316906	334444	356808
P0AB80	13315700	13096600	12740000	11379900	12676900	14100200	12579900	12434800	12280800	13815600	10554800	10878500	10523700	10524000	11094900
P0A6B4	809140	765733	766338	553352	686359	657696	641550	613810	798707	656820	867009	846982	790904	826581	916216
P0ABB4	39968900	40328000	40190100	38575800	42477000	38652300	38658500	37989500	42524100	38285200	30287800	28425200	29762000	29637500	29181900
P0A881	1963690	1847620	1873220	2124410	1715620	1969700	2001460	2093260	1865590	1955400	1256430	1215590	1191390	1293650	1252640
P0AEW9	775741	712124	954536	866600	887620	912722	950780	1081460	661711	786378	2919180	2749420	2688120	3150030	3030810
P76503	1678780	1581400	1754160	1621100	1810860	1611220	1683760	1544020	1697360	1500880	389957	338621	312928	362094	320083
P00956	14093300	12956900	15011000	10776300	13720600	14336700	11846400	12028500	16468100	12995300	9704820	10373100	11504400	10539400	10451400
P0ABS1	21318300	20920000	20913000	22633900	19520700	22245700	21754300	21706600	19270600	21313700	16492700	15754600	15179900	15784000	14572500
P06999	5108950	5071950	4945020	4958780	4894170	4599660	4931240	4929740	4853810	4808680	4955100	5020750	4701680	5121410	4801120
P0AEA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
