rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646
P37671	59125.5	76281.4	74406	64380.1	72784	69279.8	66228	66571.4	77107.5	69786.8	79867.6	52443.9	76576.3
P69488	31988.2	44362.4	46155.5	37306.8	46818.6	45595.8	51554.8	30866.8	48083.8	21301.9	23904.5	15618.7	20711.4
P0ACU0	13165.8	12235.4	11395.3	11225.9	9713.37	13699.4	11500.8	10376.4	7638.94	9937.35	11709.3	6494.27	11166.3
P37025	18906.2	24932.7	24147.6	21188.3	20894.1	21026.7	27428.5	21512.9	21482.1	16322.2	18663	14310.8	18207.7
P75952	19321.5	15298.8	13359.6	22441.6	17100.7	20101.1	16351.2	10531.7	19615.8	13405.6	18064.8	15045.7	16710.2
P0AB87	20470.4	19110.7	17585.7	21965.8	21489.6	16536.2	19330	12290.2	20241.2	5731.14	6035.44	6719.32	4671.24
P0AB65	111158	127529	120519	107229	114137	121353	132529	93560.1	118069	74366.1	77453.1	62789.4	66389.4
P60955	11058.2	19343.1	17292.5	19722.7	17754.9	8927.52	22574.2	9299.91	15921.7	9230.1	16130.5	6133.17	19370.6
P32129	11479.5	6310.19	5632.86	11650.7	11940.6	10982.6	6223.43	7223.18	9743.95	2601.67	8780.28	NA	11444.8
P0AG63	462094	344734	271328	442510	410980	318659	357198	301499	313615	396669	673874	313872	694071
P11350	2045.09	2395.09	2700.4	4311.64	4953.09	1667.41	3509.09	1202.73	3606.58	8140.21	4405.83	6374.92	12841.8
P0ACX9	30420.3	36015.2	30360.6	43015.2	16762.3	28065.7	32506	23558	19463.4	42167.2	67560	30955.6	59255.5
P0AER5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P23840	25119.2	27242.2	41145.9	38309.4	31390.9	19558.3	30073.3	42309	41326.7	17327.1	18883.4	17812.9	17745.4
P46888	4017.72	5987.4	5101.57	3202.27	4552.28	6288.23	5350.97	3520.29	4772.45	5165.74	2760.19	1979.88	2551.46
P39453	10225.2	9380.41	12253.9	7625.39	11209.3	10280.2	7942.2	15412.3	11636.3	16975.7	10363.3	12544.4	11226
P0A754	7639.36	10172	14464.1	11404.2	13053.1	13023.4	10482.7	13164.5	8911.35	9082.16	6339.54	11520	6552.15
P0A932	15127.7	16267.5	17431.6	19464.7	17861.8	16731.5	19475.7	22615	18182.3	26064.8	26486.4	17002.1	21619.4
P0AEC8	14749.5	12167.4	7689.13	10076.3	11740.2	10750	8990.33	12330	11514.1	7759.07	8434.06	6423.97	8419.4
P0ABX8	21997.3	16977.5	16257.2	26450.6	21315.8	20427	18459.7	13464	11292.5	1241.16	5156.84	2852.06	2226.09
P07021	68213.3	107728	93136.1	114155	114294	98039.1	123005	94512.5	72212.2	116084	161913	110679	113960
P76562	17586.5	12025.3	12372.7	17620.4	13848.7	14863.4	17679.9	15129.9	17595.1	18765.4	16288.7	12709.8	16592.1
P0AD21	43733.4	26991.2	19195.9	49185.9	36202.5	32912.1	34940.4	26584.2	48742.3	17460.4	56197.1	5319.63	44856.4
P08506;P0AEB2	458865	379087	298385	311805	306078	350417	291419	166237	345202	219874	313776	165209	339267
P0C079	119608	184669	144501	158547	157944	157622	186350	76920.3	168056	62115.8	125102	103108	123088
P0ACV8	11500.3	12659.1	14207.5	9806.83	9161.37	13002.7	9408.58	13648.4	12914.9	14886.2	10592.2	13023.9	8283.53
P0AAU7	36650.3	50769.8	49089.6	49245	51218	42124	50260.6	46211.9	55333	46814.2	51590.6	39163.4	45765
P76361	26509	50984.5	34351.1	55554.7	3613.65	38029.3	14138.2	NA	12056	NA	45339.2	25394.5	66014.7
P19323	26550.6	31323	34906.3	30568.3	34851.7	32068.8	27244	35035.6	25691.8	40910.3	31077.6	45250.3	38901.3
Q6BF16	21724.8	30449.2	38353.6	32759.8	35245	32084	35877.2	41677.6	28497.7	12936.6	7691.1	13552	7495.04
P37340	6112.08	9408.85	12979.6	8884.92	14369.5	6199.78	11565.1	6512.14	7148.12	2947.83	4284.38	NA	5086.61
P50466	6876.56	3419.27	9527.56	7410.12	5439.84	6344.53	4919.44	8371.43	NA	NA	NA	NA	NA
P23872	23065.5	23346.8	26798.7	24626	30201.4	16734.4	17781.3	27759.3	33023.9	12516.1	9357.49	18240.7	10078.2
P0AB55	404942	492575	429384	382415	410205	425721	444605	427714	514522	390207	448978	342664	359397
P38506	27293.6	40629.9	51021.9	34151.5	41512.9	35798.5	31667.5	48232.3	34330.5	37025.9	33848.2	29328.6	33810.4
P0AD42	13122.8	16343.3	25451.5	13949.1	19101.1	13583.1	19659.6	18760.5	17617.3	17937.2	18614.9	17746.9	17225.5
Q46822	3695.94	8878.07	6526.71	5712.96	4745.05	5773.09	6358.6	3682.9	3975.68	1765.04	3406.1	2870.19	3879.83
P0AFI9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P33343	8137.69	NA	NA	8023.83	7256.25	6148.72	2898.63	NA	9576.7	9140.28	8177.33	4678.89	25308.7
P68688	15808.2	20010.3	16400.5	15585.9	14268.7	21826	32558.5	14427.7	12765.3	6821.11	12830.4	14918.4	17645.7
P76231	7191.76	11920.5	9015.6	9285.04	9313.06	8689.05	14037.5	9279.31	14936.3	8857.07	11396.8	7239.95	6511.14
P31548	13560	16906.4	16958.6	13903.3	13118.1	15045.5	17804.4	16078.5	12160.5	19405.6	18919	21021.8	17164.4
P0A6J3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P33235	6927.46	11380.7	15302.7	15876.6	13259.6	14023	12911.4	7827.01	9091.98	1849.49	5422.96	3921.29	11110.3
P14176	172568	540370	520934	620284	554514	282920	703792	203134	330837	261304	551927	238438	579873
