"MSP"	"ERS2637868"	"ERS2637867"	"ERS2637866"	"ERS2637865"	"ERS2637864"	"ERS2637863"	"ERS2637862"	"ERS2637861"	"ERS2637860"	"ERS2637859"	"ERS2637858"	"ERS2637856"	"ERS2637855"	"ERS2637854"	"ERS2637853"	"ERS2637852"	"ERS2637851"	"ERS2637850"	"ERS2637849"	"ERS2637848"	"ERS2637847"	"ERS2637846"	"ERS2637845"	"ERS2637844"	"ERS2637843"	"ERS2637842"	"ERS2637841"	"ERS2637840"	"ERS2637839"	"ERS2637838"	"ERS2637837"	"ERS2637836"	"ERS2637835"	"ERS2637834"	"ERS2637833"	"ERS2637832"	"ERS2637831"	"ERS2637830"	"ERS2637829"	"ERS2637828"	"ERS2637827"	"ERS2637826"	"ERS2637825"	"ERS2637824"	"ERS2637822"	"ERS2637821"	"ERS2637820"	"ERS2637819"	"ERS2637818"	"ERS2637817"	"ERS2637816"	"ERS2637815"	"ERS2637814"	"ERS2637813"	"ERS2637811"	"ERS2637810"	"ERS2637809"	"ERS2637807"	"ERS2637806"	"ERS2637805"	"ERS2637804"	"ERS2637803"	"ERS2637802"	"ERS2637801"	"ERS2637800"	"ERS2637798"	"ERS2637797"	"ERS2637795"	"ERS2637794"	"ERS2637793"	"ERS2637792"	"ERS2637791"	"ERS2637789"	"ERS2637788"	"ERS2637787"
"msp_1198"	0	0	8	0	0	0	0	3357	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	1196	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1201"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0
"msp_1215"	0	0	0	0	0	33306	50	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	5089	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0
"msp_1217"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
"msp_1219"	40	20	0	0	0	0	0	62	0	559	0	502	25	0	0	0	0	0	146	0	0	0	0	0	0	0	16	0	0	6	0	0	0	0	0	43	0	0	0	36	36	0	0	0	0	14	115	1054	0	0	80	32	79	0	0	0	167	101	0	0	0	0	0	36	7	0	0	0	0	52	0	0	39	0	0
"msp_1222"	0	0	0	0	0	0	0	0	8	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1236"	0	1559	251	0	0	154	270	471	0	204	1157	1155	483	171	411	703	581	0	0	0	40	35	53	583	0	107	264	31	799	524	912	189	838	446	73	0	0	881	15	448	523	1873	694	333	0	585	690	748	698	765	29	679	900	683	323	944	663	415	299	21	231	1860	1771	340	75	182	1368	21	977	1161	317	437	248	398	1957
"msp_1238"	0	60	0	108	0	107	274	18	0	148	143	0	0	89	59	0	0	0	0	52	100	0	0	19	0	44	144	155	97	0	0	102	0	0	396	26	0	16	0	90	357	0	0	98	173	0	43	0	18	0	0	34	0	0	7	0	0	127	0	242	0	0	0	0	484	19	0	179	0	0	0	23	28	216	0
"msp_1241"	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1244"	9627	0	8163	59	8916	13111	5725	2172	15048	8237	4829	8383	3089	2283	1565	1705	2968	0	12	312	1851	11137	3060	0	5273	4467	3742	11612	3914	17321	10099	11760	6637	29	6727	2463	0	7068	15248	0	4539	2593	3688	8463	2983	3990	3492	17173	2555	1606	2770	865	0	3438	1133	3239	66	841	19102	673	4393	724	6321	1162	4089	0	730	3553	13746	0	582	6736	700	3740	6038
"msp_1245"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1250"	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1251"	0	0	0	0	0	15	0	0	0	0	0	0	0	0	71	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	41	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	9	0	0	58	0	0	0	35	0	0	0
"msp_1252"	0	0	0	0	0	0	0	0	0	0	0	0	2063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1256"	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1221	452	0	0	0	0	0	69	186	224	7	0	0	0	0	0	0	0	0	0	0	38	0	195	27	45	0	0	0	223	58	81	357	58	146	116	626	0	102	0	0	0	0	19	0	0	0	0	158	0
"msp_1259c"	0	0	0	0	0	873	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1264c"	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	68	0	24	0	0	0	0	8	0	47	0	0	0	10	26	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	22	0	0	0	44	9	0	0	0	0	0	0
"msp_1270"	0	0	0	0	461	0	183	0	0	1315	134	879	1586	0	847	560	0	0	0	0	13	0	0	0	0	423	0	0	0	0	214	648	0	0	0	0	0	490	0	122	92	0	0	305	0	0	1816	0	778	633	629	1469	0	0	0	239	0	0	501	391	0	1160	0	0	0	0	951	0	0	0	0	0	387	0	0
"msp_1276"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_1279"	490	556	292	789	0	125	14	233	34	18	0	0	0	63	0	0	0	0	1074	340	0	627	616	405	246	0	0	1991	581	791	0	0	383	117	200	843	407	0	174	0	0	313	532	0	554	255	0	261	0	0	0	0	321	303	1304	0	638	0	0	0	277	0	464	468	1245	728	0	389	115	488	457	745	0	0	411
