rowname	CVT09_QC3_LabE_X025	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s59_X013	CVT09_s61_X014	CVT09_s73_X016	CVT09_s84_X018	CVT09_s93_X020
P04128	25.05207353812896	24.597662396352593	24.851225568604264	24.222525217997514	24.896505666326565	24.05824677404912	24.57790597254346	24.680176640245072	23.95691118966469	23.57815611451653	23.89262672449315	24.09828330018182	24.214765090417604	24.446033263629708	24.146158831431663
P04335	22.037101715608152	22.25546494031324	21.820491015005665	22.18653359783291	22.10143482385636	22.15088289971858	21.884880108605362	21.994289343849854	22.26233584859574	22.398475928164768	22.133420675718114	22.045435744428907	22.044575209092965	22.14316488280155	22.11035006771531
P04391	22.40056144354833	22.677559043869845	22.13048965731527	22.50192169391863	22.178693960463633	22.194224393958912	22.100078137106117	22.13469810408035	22.829781845574725	22.527587927792105	22.59075241264667	22.65102809949781	22.76227556537958	22.608833402351607	22.72167711957452
P04391;P06960	23.467129728882554	23.89495523087043	23.295500102930482	23.606272221045813	23.310273217865465	23.284578036756713	23.26200972555069	23.2667144659176	23.887952035458746	23.671736881145883	23.850934825131553	23.841685471825052	23.885289806936235	23.70470019285002	23.797922317114512
P04395	17.832550444791917	17.574381728517295	17.4407985741387	17.493061548172374	17.400506363307578	17.481405246305222	17.52118234594966	17.353566967837835	17.501835991824997	17.642490483917083	17.48011348362123	17.856439603082478	17.4689507466289	17.93115982982374	17.60425114375965
P04425	22.185246909501746	22.33063447717576	22.054966437999088	22.25578661336753	22.202590825288468	22.154745505279124	22.095923496441188	22.128404214305476	22.194989732489745	22.164294759144067	22.406582304011728	22.272765301105874	22.293783884092022	22.26629977022904	22.28482076862822
P04693	23.596953797177346	23.511365454614047	23.405896972114448	23.651566871684178	23.47848612401686	23.657545492284292	23.551477321103242	23.414672629882055	23.55453810020083	23.36381463726692	23.716041848590955	23.5782614910374	23.680110639914034	23.59416376178138	23.63249705323263
P04805	23.484772256671448	23.56570692808487	23.397270238667904	23.56881656777852	23.559351502646823	23.462868938810118	23.421973778864025	23.414189057309265	23.61091771293553	23.66198840959001	23.257687348755734	23.399698682557965	23.460654474158027	23.3066190224492	23.332915311947183
P04816	24.00920890617698	23.89671930920654	24.014969800453553	23.97559226099578	23.9367665845237	23.91921148886481	23.910313933302813	23.90908507555321	23.90921883622457	23.70633672892057	24.025473367594994	23.87817029880211	23.94553402826777	23.854203594654656	23.847624717670822
P04816;P0AD96	24.99094029554402	25.04773574237615	24.933855551694478	24.776548624907072	24.96632469958967	25.209403757085557	25.011867547132354	24.93059789424359	24.94509692098452	24.562818632900612	25.170595883214126	24.9015608782732	24.806699639839966	24.835789672921127	24.755252390652476
P04825	23.459089111003586	23.47677807149808	23.195555827419295	23.570565069245987	23.40031487717471	23.54756242215494	23.38003125741748	23.32442331600299	23.524052109550528	23.440601064381873	23.235971824918238	23.283737171763146	23.399579448233627	23.259990583507367	23.36973042680722
