run	Method	Accuracy	Precision	Recall	F1_Score	MCC	ARI
5	strong_imbalanced_BC_Cntrl_2cls	0.58	0.5	0.23809523809523808	0.3225806451612903	0.08104408984731078	0.015501909401271156
5	strong_imbalanced_BC_Fed_2cls	0.59	0.8	0.031746031746031744	0.061068702290076333	0.10023489708720763	0.008577690599655918
5	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
5	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
6	strong_imbalanced_BC_Cntrl_2cls	0.57	0.25	0.011904761904761904	0.022727272727272724	-0.049205340264438686	-0.004220609090190644
6	strong_imbalanced_BC_Fed_2cls	0.56	0.07142857142857142	0.003968253968253968	0.007518796992481203	-0.10916121331840922	-0.009230838876864982
6	strong_imbalanced_AC_Cntrl_2cls	0.5783333333333334	0	0	0	-0.03476940327449186	-9.193896821312099e-4
6	strong_imbalanced_AC_Fed_2cls	0.56	0.07142857142857142	0.003968253968253968	0.007518796992481203	-0.10916121331840922	-0.009230838876864982
7	strong_imbalanced_BC_Cntrl_2cls	0.62	0.65	0.20634920634920634	0.3132530120481927	0.18278161728143277	0.04371569558991168
7	strong_imbalanced_BC_Fed_2cls	0.915	1	0.7976190476190477	0.8874172185430463	0.8340669881853152	0.6875761343816227
7	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
7	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
8	strong_imbalanced_BC_Cntrl_2cls	0.5866666666666667	0.625	0.03968253968253968	0.07462686567164178	0.06874938014390514	0.00709743363495289
8	strong_imbalanced_BC_Fed_2cls	0.9516666666666667	0.9665271966527197	0.9166666666666666	0.9409368635437881	0.9009869196376188	0.8155281872423132
8	strong_imbalanced_AC_Cntrl_2cls	0.5766666666666667	0.25	0.003968253968253968	0.0078125	-0.028217409783240284	-0.0014910880806632628
8	strong_imbalanced_AC_Fed_2cls	0.9516666666666667	0.9626556016597511	0.9206349206349206	0.9411764705882353	0.9008385139089773	0.8155400104943665
9	strong_imbalanced_BC_Cntrl_2cls	0.62	0.65	0.20634920634920634	0.3132530120481927	0.18278161728143277	0.04371569558991168
9	strong_imbalanced_BC_Fed_2cls	1	1	1	1	1	1
9	strong_imbalanced_AC_Cntrl_2cls	1	1	1	1	1	1
9	strong_imbalanced_AC_Fed_2cls	1	1	1	1	1	1
