"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P0AAA1"	34012600	50630700	53715200	22407500	16716900	21837000	45429600	43800600	48912800	32817600	49841600	42426800	52553000	50088400	37092100	45082700
"P0A7D7"	216174000	187078000	195936000	180526000	159084000	225934000	171372000	176451000	168805000	177414000	175106000	200110000	170336000	172729000	181484000	181564000
"P36680"	15607400	14047200	15645400	14810300	15511300	11309600	15259000	15377800	16446000	9393800	17033700	13830900	17709900	17364100	14037300	15222900
"P0A8V0"	8461090	9751550	7628620	8792610	7652450	9673600	10302500	9409840	8573580	9438740	9344700	10187800	8604590	8903180	9892520	9068300
"P0AFA7"	3861580	3001130	4134640	3488000	2960370	2808040	2857110	3066460	3892320	1978030	3702600	3050650	3913090	3478980	2689380	3253630
"P0A6P9"	403769000	883012000	758486000	453777000	366913000	459228000	969031000	886058000	803038000	1071790000	696240000	893715000	813777000	879647000	878295000	862562000
"P0A9T0"	241090000	442600000	448438000	214776000	223991000	256892000	472071000	458126000	494329000	445556000	462068000	455735000	452502000	469988000	451051000	460603000
"P0AFL6"	9437330	9287480	9983440	9322660	8645950	8890510	9286510	9739320	10328300	6710090	10667600	9258470	10836100	10189200	8338420	10164800
"P33218"	13267600	11521600	10134400	15178500	13720200	13520600	11835100	12171900	11605400	11823900	10385300	10638300	10861500	10461000	11779000	11035100
"P00960"	46206400	37947000	42580700	40117500	43188900	34210900	39207500	41068100	38912700	27889800	44748200	35978300	46046700	44291700	33602600	44629200
"P00363"	77828500	78899000	70412100	49957700	59878500	73170600	69735300	59062400	63406600	70617100	55564300	63901700	61590200	72279900	62279000	59265100
"P0ACD4"	102104000	119083000	80781500	103481000	91783300	99015900	125251000	117304000	93090600	125784000	106305000	94553500	93908400	85422500	108792000	94189700
"P39298"	21007900	18813900	19130100	22858200	19892900	18368000	21770800	19650100	20880600	15230400	18637200	20525900	19043800	20266800	18902200	17669800
"P0A6L0"	14150400	17645000	16988700	14718300	14448700	16082500	18491600	18582300	19672700	19562700	17579100	20781900	18381200	19200000	18441400	18817300
"P25526"	93811300	37126500	43103100	130851000	86466700	96004000	38697100	43790600	42901100	41928700	47379200	46101100	44958500	36236000	42459300	44205100
"P0A877"	47886600	54702800	42953200	51960800	45262400	50227400	56674900	57910700	59059200	58689100	52584700	52134500	48840700	51951900	56554800	51624400
"P21517"	2598580	3714760	3728810	3080780	2200490	2753720	3554820	2840010	3622590	2972330	3519410	3914900	3013680	3127510	3875240	3190560
