rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P03030,17.54834331351178,17.308660329674105,17.824779159128973,18.034807900753457,17.315362598165592,16.988222511054772,17.451183131429005,17.235429238275778,16.921929839480647,17.268241531919003,17.290362350006106,16.849876255890003,17.21370517170496,17.300127303412815,17.391331426538713
P03813,20.92701419851022,20.858356230830232,20.948580412548395,20.910181733792385,20.612534443750903,20.69129232692795,20.716857419169102,20.656056203310023,20.628350405069767,20.753382708446793,20.66066846415324,20.656514146345238,20.694456139862623,20.69659221294011,20.96978451160421
P03817,21.582069367085644,21.86462327413188,21.729216844522675,21.53713440495048,21.5247096787108,21.306905300273293,21.467788239789236,21.312927388569086,21.55214230005995,21.54128815449974,21.36465286233772,21.363645238248814,21.511603981070266,21.312837816535293,21.52980031613499
P03819,17.718706416309015,17.76055364027105,17.579041499830527,18.09356690010477,17.678323184892218,17.738800705230027,17.54126113141742,17.704610441334687,17.760430194389677,17.62130422766371,17.893340624553744,17.745313377141574,17.678811521807248,17.623403113448514,17.838538854242415
P03841,21.539176838392663,21.850424439894727,21.5476424477111,22.13729651548441,21.651326870348264,21.429413896229338,21.375763723854522,21.5210187278644,21.953925841417174,22.25429423148324,21.974879343996275,21.938626738534,22.230338453987176,22.026178369350678,21.677041759780014
P04036,22.93135978812793,22.76350691527221,22.989344985389245,22.736094176469688,23.93403266785501,24.092590202217817,24.18286632271575,23.96732245105877,24.095718172406492,24.09411829132884,24.092142338120222,24.069599240917444,24.06620885061135,24.13638781633233,22.896373469996497
P04079,23.463439653779197,23.56685084529782,23.54345907360355,23.34409487956711,24.108729212607088,24.11819213696807,23.938449048427913,24.073366365897655,24.079011801710337,23.96522441004028,24.055472481606778,24.08538019007168,24.100257229038874,24.111815979175724,23.607175271905653
P04128,23.346194517647312,23.9376404193929,24.046495633460772,24.893616124165902,24.255793061942516,24.64929152511278,24.265601224783595,24.393902603399304,24.939281874187653,24.275195857743764,24.369123338990924,24.262251228417696,23.80019799381523,23.93352856557479,24.778870600010457
P04335,22.272612202331537,22.176049762237867,22.267303021969823,22.12628354085541,22.02968712580241,21.99287859879601,21.990391689897947,22.038154054494143,22.03139998334109,22.051165728788142,22.103288639785433,22.056669104265964,22.077652614442407,22.10833519297436,22.172832335828275
P04391,22.462195031437545,22.432544570480474,22.547232046204336,22.028173217009783,22.50544672371332,22.62397164004995,22.562476246500243,22.585640967128473,22.660205831173275,22.718770045682387,22.635126385198568,22.623484689180046,22.747244298712168,22.746186594959717,22.624608174058988
P04391;P06960,23.62957938995631,23.701476349614364,23.690209953078316,23.206006351279342,23.736397673055123,23.86821890900025,23.81203670124369,23.829266856871566,23.853212995603844,23.77063972576958,23.746745041321052,23.82628599178669,23.794808238479455,23.756769153074732,23.6485360101424
