rowname	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3
Eukaryotic translation elongation factor 1 epsilon-1	19.74138122273949	19.877881887783992	19.889086267480792	19.65413531560629	19.807609547499492	19.72863009742689	19.71505359147909	19.71514349552969	19.78572623994729	19.870077408058993	19.87452814623469	19.59957688353209
Eukaryotic translation initiation factor 2 subunit 2	20.058408538312484	20.031808183415986	20.092608293132585	20.044779968988085	19.978818123471985	19.908339287487784	19.938767598457986	19.863143938084185	20.138742714096686	19.929886262634685	20.039807457007786	19.866137260348584
Proteasome assembly chaperone 2	18.560586694351027	17.868960706978626	17.972776852899624	18.215285914095226	18.017536686505824	17.412081774415327	18.130688645019227	18.185373629174826	18.368741792873827	17.464737878047625	17.923424167730325	17.727157792924725
Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	20.163878648468252	19.996255021292352	20.044476064323952	20.00132034870685	20.01187941106815	20.046014399781953	19.88232849066885	19.98195809195785	19.960672443636252	20.06902379049015	20.012017684172353	19.92277921582795
60S ribosomal protein L4	21.97393623812235	21.93285151015195	22.01635666851795	21.87457419244905	21.905484015493652	22.02387855096075	21.96247566597225	21.93843749506475	22.01102459674825	21.93641776641655	22.03674450857615	21.98496442923485
Heterogeneous nuclear ribonucleoprotein U-like protein 2	20.864483938951054	20.794366509528153	20.816269766093654	20.770309344814656	20.884434460309055	20.742561202420454	20.845628398946953	20.839573059326653	20.909523881406155	20.877468615384753	20.813465021416356	20.819567516890555
Long-chain-fatty-acid--CoA ligase 1	19.23633762865012	19.333441043528417	19.02314963250002	19.248031391024917	19.348812149937217	19.225886082647516	19.099635897624818	19.307175139526418	19.338418652565018	19.20347208558182	19.047340012482117	19.324595251257517
39S ribosomal protein L4, mitochondrial	18.84777565257987	18.47247523627107	18.72090678129837	18.60056597777267	18.492948326793872	18.66869743793297	18.44386280189127	18.85357161284227		18.79469855407617	21.29445720165917	18.68441849063397
Major vault protein	19.096906258020848	20.087657808164547	20.15281534801925	20.11043477025715	19.254060039304647	20.09929179309805	20.235043206828248	20.234535493640248	19.34598438425185	19.98826576806475	20.184786534723248	20.16956608246185
Ras-related C3 botulinum toxin substrate 1	20.438462848171927	20.108358876492527	20.19475874852713	19.91278775834043	20.408889129295726	20.09661975601053	20.10147443528753	20.24003198318193	20.45406622802193	20.26158245417683	20.105826732613227	20.08172575991613
Cytochrome c oxidase subunit 6B1	20.196398949019454	20.239300443195255	20.521114001323053	20.138298806194253	20.444223474876054	20.413340057504854	20.554269792170153	20.666917774400154	20.150291776293955	20.338829442622053	20.513783760536352	20.375121698506454
Flap endonuclease 1	20.138477002947457	20.37236884750556	20.08729010029076	20.485940113535758	20.15397545598376	20.03567711250926	20.257534103038257	20.38769197708836	20.124471385370057	20.11700730440266	20.175822318383556	20.086298115385457
Nuclear pore complex protein Nup160	19.113613721518885	19.897065716419185	19.186371963446984	19.342237506052786	19.737784974253085	19.048037301556484	19.383055077793983	19.397538305926886	19.275638495554386	19.570356713730487	19.174084119694584	18.813840940283185
Rho guanine nucleotide exchange factor 2	18.905966845422956	19.441738356970554	18.984478310488655	19.009865501849454	18.978934175017756	19.015864846406053	19.067099561427156	19.057268044765355	19.201651124686556	19.135923622676057	19.325033517858756	19.026260261592554
Glutathione reductase, mitochondrial	20.33427070200002	20.431820123792416	20.10889569167852	20.26462787429522	20.333857448510418	20.231176020731418	20.28017189074722	20.35374874128882	20.261945149745618	20.267245289452017	20.184112700981718	20.411241093662717
Activated RNA polymerase II transcriptional coactivator p15	21.655041089055555	21.993907343934254	21.865036843901255	21.810164722528555	21.688335920652953	22.071154813526455	21.840277876728656	22.010256713805454	21.858733300401553	22.049328631433657	21.917241856334854	21.946809981859356
UBX domain-containing protein 7	19.740937852437163	19.56219392369926	19.160171773660167	19.129423508626665	19.53740523033086	19.363185418064262	19.515308307077866	19.631638973488464	19.60414979388436	19.46572984639146	19.974500974931267	19.673337560101366
Biogenesis of lysosome-related organelles complex 1 subunit 2	18.287494638622263	18.327302184825562		18.117885395550363	18.295501502087063		18.122072866591363	18.215094503135962	18.342535443720763	18.157533299161962	18.083454567810463	18.028105308004864
28S ribosomal protein S27, mitochondrial	19.38011339662677	18.62814486169797	19.142267203361868	19.030416137058868	19.132748360947467	19.179795272012367	18.87272726390397	19.113127925346067	18.985938406437068	18.95405732184387	18.65925257349817	18.975749414354468
Double-strand break repair protein MRE11A	19.736730120533075	19.140785500444778	19.081500494775078	18.938092338754075	19.400524760581376	19.141047863245177	18.97567202737318	19.22829683460168	19.191721294273677	19.534124657042277	19.19489620925028	18.93399899343018
Inosine-5-monophosphate dehydrogenase 2	21.094102107067677	20.981165754225977	20.844964993443277	20.708318896090077	20.940434041740076	20.891284619701377	20.873710225046977	20.807935474933778	20.985459406857977	20.919185733358677	20.86065078373508	20.795732368722977
TATA-binding protein-associated factor 172	18.12427646206584	18.150197441951143	18.07618333028694	18.013927092576342	18.11611750883474	18.913855641584643	17.80617911435884	17.91187369219294	18.47011013761224	18.169591358352342	17.93927058461454	18.19300596582304
Sideroflexin-1	20.320240721373366	20.332955125187567	20.412869796691265	20.153611417183065	20.079644357345167	20.362702281244065	20.430374529098366	19.990678630895065	20.430155866757765	20.241537399840965	20.383371582467667	19.941226513455266
Heterogeneous nuclear ribonucleoprotein D-like	20.330359769721394	20.379925434089092	20.243023216535892	20.575398144694493	20.346754956598293	20.257745038319694	20.271354103571092	20.415692466447794	20.293214128291392	20.251331258971494	20.366733386209795	20.404130498069193
General vesicular transport factor p115	19.69680003525103	19.94327653419473	19.965662314689432	19.71588002835093	19.723567982900136	19.925119926571035	19.969751248075035	19.741713859724435	19.68106928989303	19.80196861823223	19.97595623980053	19.735266476845133
Zyxin	18.573785686466216	18.790525646589217	18.583648782704415	18.970034001783617	18.794883798137416	18.581294388267217	18.768453107238116	18.795841042275818	18.474440007536316	18.690098590458216	18.635343354908215	19.09971872728382
Vasodilator-stimulated phosphoprotein	20.269421211741857	20.149217920181055	20.215616721358455	20.618364429849056	20.234442457821856	20.297294977181856	20.230784595217656	20.502679519904156	20.298382697485756	20.302761273412855	20.187696207827955	20.587084747904058
